#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\platform\agent-linux-troubleshoot.md","83","log analytics","| 6 | Non-200 HTTP error received from Log Analytics service. See the full output of the omsadmin script for details. |"
"\platform\agent-linux-troubleshoot.md","84","log analytics","| 7 | Unable to connect to Log Analytics service. See the full output of the omsadmin script for details. |"
"\platform\agent-linux-troubleshoot.md","85","log analytics","| 8 | Error onboarding to Log Analytics workspace. See the full output of the omsadmin script for details. |"
"\platform\agent-linux-troubleshoot.md","113","log analytics","Debug logging allows you to see batched uploads to the Log Analytics service separated by type, number of data items, and time taken to send:"
"\platform\agent-linux-troubleshoot.md","124","log analytics","Instead of using the OMS output plugin you can also output data items directly to `stdout`, which is visible in the Log Analytics agent for Linux log file."
"\platform\agent-linux-troubleshoot.md","126","log analytics","In the Log Analytics general agent configuration file at `/etc/opt/microsoft/omsagent/<workspace id>/conf/omsagent.conf`, comment out the OMS output plugin by adding a `#` in front of each line:"
"\platform\agent-linux-troubleshoot.md","151","log analytics","## Issue: Unable to connect through proxy to Log Analytics"
"\platform\agent-linux-troubleshoot.md","155","log analytics","* The Log Analytics and Azure Automation Service Endpoints are not whitelisted in your datacenter "
"\platform\agent-linux-troubleshoot.md","158","log analytics","1. Reonboard to the Log Analytics service with the Log Analytics agent for Linux by using the following command with the option `-v` enabled. It allows verbose output of the agent connecting through the proxy to the Log Analytics service. "
"\platform\agent-linux-troubleshoot.md","162","log analytics","* Double check that the following Log Analytics endpoints are whitelisted:"
"\platform\agent-linux-troubleshoot.md","180","log analytics","2. Verify you have installed the latest version of the Log Analytics agent for Linux.  The newest version now notifies you if time skew is causing the onboarding failure."
"\platform\agent-linux-troubleshoot.md","184","log analytics","This is a known issue that occurs on first upload of Linux data into a Log Analytics workspace. This does not affect data being sent or service experience."
"\platform\agent-linux-troubleshoot.md","190","log analytics","- Onboarding to the Log Analytics service failed"
"\platform\agent-linux-troubleshoot.md","191","log analytics","- Connection to the Log Analytics service is blocked"
"\platform\agent-linux-troubleshoot.md","192","log analytics","- Log Analytics agent for Linux data is backed up"
"\platform\agent-linux-troubleshoot.md","195","log analytics","1. Check if onboarding the Log Analytics service was successful by checking if the following file exists: `/etc/opt/microsoft/omsagent/<workspace id>/conf/omsadmin.conf`"
"\platform\agent-linux-troubleshoot.md","198","log analytics","4. In some cases, when the Log Analytics agent for Linux cannot communicate with the service, data on the agent is queued to the full buffer size, which is 50 MB. The agent should be restarted by running the following command: `/opt/microsoft/omsagent/bin/service_control restart [<workspace id>]`. "
"\platform\agent-linux-troubleshoot.md","209","log analytics","* The number of messages being forwarded per second are too great for the base configuration of the Log Analytics agent for Linux to handle"
"\platform\agent-linux-troubleshoot.md","212","log analytics","* Verify the configuration in the Log Analytics workspace for Syslog has all the facilities and the correct log levels. Review [configure Syslog collection in the Azure portal](../../azure-monitor/platform/data-sources-syslog.md#configure-syslog-in-the-azure-portal)"
"\platform\agent-linux-troubleshoot.md","215","log analytics","* Simulate a Syslog message to Log Analytics using `logger` command"
"\platform\agent-linux-troubleshoot.md","222","log analytics","This error indicates that the Linux Diagnostic extension (LAD) is installed side by side with the Log Analytics Linux VM extension, and it is using same port for syslog data collection as omsagent."
"\platform\agent-linux-troubleshoot.md","258","log analytics","2. In the Log Analytics agent for Linux general configuration file at `/etc/opt/microsoft/omsagent/<workspace id>/conf/omsagent.conf`, ensure that **both** the Nagios source and filter are uncommented."
"\platform\agent-linux-troubleshoot.md","276","log analytics","* Onboarding to the Log Analytics Service failed"
"\platform\agent-linux-troubleshoot.md","277","log analytics","* Connection to the Log Analytics Service is blocked"
"\platform\agent-linux-troubleshoot.md","279","log analytics","* OMI package was manually upgraded to a newer version compared to what was installed by Log Analytics agent for Linux package"
"\platform\agent-linux-troubleshoot.md","281","log analytics","* Log Analytics agent for data is backed up"
"\platform\agent-linux-troubleshoot.md","286","log analytics","2. Check if onboarding to the Log Analytics service was successful by checking if the following file exists: `/etc/opt/microsoft/omsagent/<workspace id>/conf/omsadmin.conf`.  If it was not, reonboard using the omsadmin.sh command line [instructions](https://github.com/Microsoft/OMS-Agent-for-Linux/blob/master/docs/OMS-Agent-for-Linux.md#onboarding-using-the-command-line)."
"\platform\agent-linux-troubleshoot.md","288","management solution","5. In some Azure distribution systems, omid OMI server daemon does not start after the virtual machine is rebooted. This will result in not seeing Audit, ChangeTracking, or UpdateManagement solution-related data. The workaround is to manually start omi server by running `sudo /opt/omi/bin/service_control restart`."
"\platform\agent-linux-troubleshoot.md","289","log analytics","6. After OMI package is manually upgraded to a newer version, it has to be manually restarted for Log Analytics agent to continue functioning. This step is required for some distros where OMI server does not automatically start after it is upgraded. Run `sudo /opt/omi/bin/service_control restart` to restart OMI."
"\platform\agent-linux-troubleshoot.md","291","log analytics","8. In some cases, when the Log Analytics agent for Linux cannot talk to the Log Analytics service, data on the agent is backed up to the full buffer size: 50 MB. The agent should be restarted by running the following command `/opt/microsoft/omsagent/bin/service_control restart`."
"\platform\agent-linux-troubleshoot.md","346","log analytics","* The Log Analytics agent for Linux has not picked up the latest configuration"
"\platform\agent-linux-troubleshoot.md","350","log analytics","**Background:** `omsconfig` is the Log Analytics agent for Linux configuration agent that looks for new portal-side configuration every five minutes. This configuration is then applied to the Log Analytics agent for Linux configuration files located at /etc/opt/microsoft/omsagent/conf/omsagent.conf."
"\platform\agent-linux-troubleshoot.md","352","log analytics","* In some cases, the Log Analytics agent for Linux configuration agent might not be able to communicate with the portal configuration service resulting in latest configuration not being applied."
"\platform\agent-linux-troubleshoot.md","353","log analytics","  1. Check that the `omsconfig` agent is installed by running `dpkg --list omsconfig` or `rpm -qi omsconfig`.  If it is not installed, reinstall the latest version of the Log Analytics agent for Linux."
"\platform\agent-linux-troubleshoot.md","355","log analytics","  2. Check that the `omsconfig` agent can communicate with the Log Analytics service by running the following command `sudo su omsagent -c 'python /opt/microsoft/omsconfig/Scripts/GetDscConfiguration.py'`. This command returns the configuration that agent receives from the service, including Syslog settings, Linux performance counters, and custom logs. If this command fails, run the following command `sudo su omsagent -c 'python /opt/microsoft/omsconfig/Scripts/PerformRequiredConfigurationChecks.py'`. This command forces the omsconfig agent to talk to the Log Analytics service and retrieve  the latest configuration."
"\platform\agent-linux-troubleshoot.md","360","log analytics","* Onboarding to Log Analytics service failed."
"\platform\agent-linux-troubleshoot.md","363","log analytics","* Log Analytics agent for Linux user `omsagent` is unable to access the custom log due to permissions or not being found.  You may see the following errors:"
"\platform\agent-linux-troubleshoot.md","366","log analytics","* Known Issue with Race Condition fixed in Log Analytics agent for Linux version 1.1.0-217"
"\platform\agent-linux-troubleshoot.md","369","log analytics","1. Verify onboarding to the Log Analytics was successful by checking if the following file exists: `/etc/opt/microsoft/omsagent/<workspace id>/conf/omsadmin.conf`. If not, either:  "
"\platform\agent-linux-troubleshoot.md","374","log analytics","2. Check that the `omsconfig` agent can communicate with the Log Analytics service by running the following command `sudo su omsagent -c 'python /opt/microsoft/omsconfig/Scripts/GetDscConfiguration.py'`.  This command returns the configuration that agent receives from the service, including Syslog settings, Linux performance counters, and custom logs. If this command fails, run the following command `sudo su omsagent -c 'python /opt/microsoft/omsconfig/Scripts/PerformRequiredConfigurationChecks.py`. This command forces the omsconfig agent to talk to the Log Analytics service and retrieve the latest configuration."
"\platform\agent-linux-troubleshoot.md","376","log analytics","**Background:** Instead of the Log Analytics agent for Linux running as a privileged user - `root`, the agent runs as the `omsagent` user. In most cases, explicit permission must be granted to this user in order for certain files to be read. To grant permission to `omsagent` user, run the following commands:"
"\platform\agent-linux-troubleshoot.md","381","log analytics","There is a known issue with a race condition with the Log Analytics agent for Linux version earlier than 1.1.0-217. After updating to the latest agent, run the following command to get the latest version of the output plugin `sudo cp /etc/opt/microsoft/omsagent/sysconf/omsagent.conf /etc/opt/microsoft/omsagent/<workspace id>/conf/omsagent.conf`."
"\platform\agent-linux-troubleshoot.md","384","log analytics","When you try to reonboard an agent to a new workspace, the Log Analytics agent  configuration needs to be cleaned up before reonboarding. To clean up old configuration from the agent, run the shell bundle with `--purge`"
"\platform\agent-linux-troubleshoot.md","397","log analytics","## Log Analytics agent extension in the Azure portal is marked with a failed state: Provisioning failed"
"\platform\agent-linux-troubleshoot.md","400","log analytics","* Log Analytics agent has been removed from the operating system"
"\platform\agent-linux-troubleshoot.md","401","log analytics","* Log Analytics agent service is down, disabled, or not configured"
"\platform\agent-linux-troubleshoot.md","411","log analytics","## Issue: The Log Analytics agent upgrade on-demand"
"\platform\agent-linux-troubleshoot.md","415","log analytics","The Log Analytics agent packages on the host are outdated."
"\platform\agent-manage.md","2","log analytics","title: Managing the Azure Log Analytics Agent | Microsoft Docs"
"\platform\agent-manage.md","18","log analytics","# Managing and maintaining the Log Analytics agent for Windows and Linux"
"\platform\agent-manage.md","20","log analytics","After initial deployment of the Windows or Linux agent for Log Analytics, you may need to reconfigure the agent, or remove it from the computer if has reached the retirement stage in its lifecycle.  You can easily manage these routine maintenance tasks manually or through automation, which reduces both operational error and expenses."
"\platform\agent-manage.md","30","log analytics","3. Select **Microsoft Monitoring Agent** and then click the **Azure Log Analytics** tab."
"\platform\agent-manage.md","32","log analytics","5. If adding a workspace, click **Add** and on the **Add a Log Analytics Workspace** dialog box, paste the Workspace ID and Workspace Key (Primary Key). If the computer should report to a Log Analytics workspace in Azure Government cloud, select Azure US Government from the Azure Cloud drop-down list. "
"\platform\agent-manage.md","97","log analytics","To configure the agent to communicate to the service through a proxy server or [Log Analytics gateway](gateway.md) after deployment, use one of the following methods to complete this task."
"\platform\agent-manage.md","106","log analytics","4. Click **Use a proxy server** and provide the URL and port number of the proxy server or gateway. If your proxy server or Log Analytics gateway requires authentication, type the username and password to authenticate and then click **OK**. "
"\platform\agent-manage.md","110","log analytics","Copy the following sample PowerShell code, update it with information specific to your environment, and save it with a PS1 file name extension.  Run the script on each computer that connects directly to the Log Analytics service."
"\platform\agent-manage.md","137","log analytics","Perform the following steps if your Linux computers need to communicate through a proxy server or Log Analytics gateway.  The proxy configuration value has the following syntax `[protocol://][user:password@]proxyhost[:port]`.  The *proxyhost* property accepts a fully qualified domain name or IP address of the proxy server."
"\platform\agent-manage.md","181","log analytics","Perform the following steps to configure the Log Analytics agent for Windows to report to a System Center Operations Manager management group."
"\platform\agent-manage.md","197","log analytics","Perform the following steps to configure the Log Analytics agent for Linux to report to a System Center Operations Manager management group. "
"\platform\agent-windows.md","2","log analytics","title: Connect Windows computers to Azure Log Analytics | Microsoft Docs"
"\platform\agent-windows.md","3","log analytics","description: This article describes how to connect Windows computers hosted in other clouds or on-premises to Log Analytics with the Microsoft Monitoring Agent (MMA)."
"\platform\agent-windows.md","18","log analytics","# Connect Windows computers to the Log Analytics service in Azure"
"\platform\agent-windows.md","20","log analytics","In order to monitor and manage virtual machines or physical computers in your local datacenter or other cloud environment with Log Analytics, you need to deploy the Microsoft Monitoring Agent (MMA) and configure it to report to one or more Log Analytics workspaces.  The agent also supports the Hybrid Runbook Worker role for Azure Automation.  "
"\platform\agent-windows.md","22","log analytics","On a monitored Windows computer, the agent is listed as the Microsoft Monitoring Agent service. The Microsoft Monitoring Agent service collects events from log files and Windows event log, performance data, and other telemetry. Even when the agent is unable to communicate with the Log Analytics service it reports to, the agent continues to run and queues the collected data on the disk of the monitored computer. When the connection is restored, the Microsoft Monitoring Agent service sends collected data to the service."
"\platform\agent-windows.md","34","log analytics","Before installing the Microsoft Monitoring Agent for Windows, you need the workspace ID and key for your Log Analytics workspace.  This information is required during setup from each installation method to properly configure the agent and ensure it can successfully communicate with Log Analytics in Azure commercial and US Government cloud.  "
"\platform\agent-windows.md","36","log analytics","1. In the Azure portal, click **All services**. In the list of resources, type **Log Analytics**. As you begin typing, the list filters based on your input. Select **Log Analytics**."
"\platform\agent-windows.md","37","log analytics","2. In your list of Log Analytics workspaces, select the workspace you intend on configuring the agent to report to."
"\platform\agent-windows.md","38","log analytics","3. Select **Advanced settings**.<br><br> ![Log Analytics Advance Settings](media/agent-windows/log-analytics-advanced-settings-01.png)<br><br>  "
"\platform\agent-windows.md","43","log analytics","To configure use of the [TLS 1.2](https://docs.microsoft.com/windows-server/security/tls/tls-registry-settings#tls-12) protocol for communication between the Windows agent and the Log Analytics service, you can follow the steps below to enable before the agent is installed on the virtual machine or afterwards.   "
"\platform\agent-windows.md","62","log analytics","The following steps install and configure the agent for Log Analytics in Azure and Azure Government cloud by using the setup wizard for the Microsoft Monitoring Agent on your computer. If you want to learn how to configure the agent to also report to a System Center Operations Manager management group, see [deploy the Operations Manager agent with the Agent Setup Wizard](https://docs.microsoft.com/system-center/scom/manage-deploy-windows-agent-manually#to-deploy-the-operations-manager-agent-with-the-agent-setup-wizard)."
"\platform\agent-windows.md","64","log analytics","1. In your Log Analytics workspace, from the **Windows Servers** page you navigated to earlier, select the appropriate **Download Windows Agent** version to download depending on the processor architecture of the Windows operating system.   "
"\platform\agent-windows.md","69","log analytics","5. On the **Agent Setup Options** page, choose to connect the agent to Azure Log Analytics and then click **Next**.   "
"\platform\agent-windows.md","70","log analytics","6. On the **Azure Log Analytics** page, perform the following:"
"\platform\agent-windows.md","71","log analytics","   1. Paste the **Workspace ID** and **Workspace Key (Primary Key)** that you copied earlier.  If the computer should report to a Log Analytics workspace in Azure Government cloud, select **Azure US Government** from the **Azure Cloud** drop-down list.  "
"\platform\agent-windows.md","72","log analytics","   2. If the computer needs to communicate through a proxy server to the Log Analytics service, click **Advanced** and provide the URL and port number of the proxy server.  If your proxy server requires authentication, type the username and password to authenticate with the proxy server and then click **Next**.  "
"\platform\agent-windows.md","77","log analytics","When complete, the **Microsoft Monitoring Agent** appears in **Control Panel**. To confirm it is reporting to Log Analytics, review [Verify agent connectivity to Log Analytics](#verify-agent-connectivity-to-log-analytics). "
"\platform\agent-windows.md","83","log analytics",">If you want to upgrade an agent, you need to use the Log Analytics scripting API. See the topic [Managing and maintaining the Log Analytics agent for Windows and Linux](agent-manage.md) for further information."
"\platform\agent-windows.md","85","log analytics","The following table highlights the specific Log Analytics parameters supported by setup for the agent, including when deployed using Automation DSC."
"\platform\agent-windows.md","129","log analytics","2.	Create Azure Automation variable assets for *OPSINSIGHTS_WS_ID* and *OPSINSIGHTS_WS_KEY*. Set *OPSINSIGHTS_WS_ID* to your Log Analytics workspace ID and set *OPSINSIGHTS_WS_KEY* to the primary key of your workspace."
"\platform\agent-windows.md","172","log analytics","## Verify agent connectivity to Log Analytics"
"\platform\agent-windows.md","176","log analytics","From the computer in **Control Panel**, find the item **Microsoft Monitoring Agent**.  Select it and on the **Azure Log Analytics** tab, the agent should display a message stating: **The Microsoft Monitoring Agent has successfully connected to the Microsoft Operations Management Suite service.**<br><br> ![MMA connection status to Log Analytics](media/agent-windows/log-analytics-mma-laworkspace-status.png)"
"\platform\agent-windows.md","180","log analytics","1. In the Azure portal, click **All services**. In the list of resources, type **Log Analytics**. As you begin typing, the list filters based on your input. Select **Log Analytics**.  "
"\platform\agent-windows.md","181","log analytics","2. On the Log Analytics workspace page, select the target workspace and then select the **Log Search** tile. "
"\platform\agent-windows.md","195","log analytics","Review [Managing and maintaining the Log Analytics agent for Windows and Linux](agent-manage.md) to learn about how to manage the agent during its deployment lifecycle on your machines.  "
"\platform\agents-overview.md","22","log analytics","* Log Analytics Agent for Linux and Windows"
"\platform\agents-overview.md","47","log analytics","* Configure Log Analytics to import metrics and log data collected from Cloud Services, classic VMs, and Service Fabric nodes stored in an Azure storage account."
"\platform\agents-overview.md","49","log analytics","## Log Analytics agent"
"\platform\agents-overview.md","50","log analytics","For advanced monitoring where you need to do more than collect metrics and a subset of logs, the Log Analytics agent for Windows and Linux is required. The Log Analytics agent was developed for comprehensive management across on-premises physical and virtual machines, computers monitored by System Center Operations Manager, and VMs in hosted in other clouds. The Windows and Linux agents connect to a Log Analytics workspace to collect both monitoring solution-based data as well as custom data sources that you configure."
"\platform\agents-overview.md","54","log analytics","The Log Analytics agent should be used when you want to:"
"\platform\agents-overview.md","60","log analytics","Previously, several Azure services were bundled as the *Operations Management Suite*, and as a result the Log Analytics agent is shared across services including Azure Security Center and Azure Automation.  This includes the full set of features they offer, delivering comprehensive management of your Azure VMs through their lifecycle.  Some examples of this are:"
"\platform\agents-overview.md","65","log analytics","* Azure services such as [Application Insights](https://docs.microsoft.com/azure/application-insights/) and [Azure Security Center](https://docs.microsoft.com/azure/security-center/), which natively store their data directly in Log Analytics.  "
"\platform\agents-overview.md","68","log analytics","The Dependency agent was developed as part of the Service Map solution, which was originally developed externally from Microsoft. [Service Map](../insights/service-map.md) and [Azure Monitor for VMs](../insights/vminsights-overview.md) requires a Dependency Agent on Windows and Linux virtual machines and it integrates with the Log Analytics agent to collects discovered data about processes running on the virtual machine and external process dependencies. It stores this data in Log Analytics and visualizes the discovered interconnected components."
"\platform\agents-overview.md","70","log analytics","You may need some combination of these agents to monitor your VM. The agents can be installed side by side as Azure extensions, however on Linux, the Log Analytics agent *must* be installed first or else installation will fail. "
"\platform\agents-overview.md","74","log analytics","- See [Overview of the Log Analytics agent](../../azure-monitor/platform/log-analytics-agent.md) to review requirements and supported methods to deploy the agent to machines hosted in Auzre, in your datacenter, or other cloud environment."
"\platform\alert-management-solution.md","2","log analytics","title: Alert Management solution in Azure Log Analytics | Microsoft Docs"
"\platform\alert-management-solution.md","2","management solution","title: Alert Management solution in Azure Log Analytics | Microsoft Docs"
"\platform\alert-management-solution.md","3","log analytics","description: The Alert Management solution in Log Analytics helps you analyze all of the alerts in your environment.  In addition to consolidating alerts generated within Log Analytics, it imports alerts from connected System Center Operations Manager management groups into Log Analytics."
"\platform\alert-management-solution.md","3","management solution","description: The Alert Management solution in Log Analytics helps you analyze all of the alerts in your environment.  In addition to consolidating alerts generated within Log Analytics, it imports alerts from connected System Center Operations Manager management groups into Log Analytics."
"\platform\alert-management-solution.md","18","log analytics","# Alert Management solution in Azure Log Analytics"
"\platform\alert-management-solution.md","18","management solution","# Alert Management solution in Azure Log Analytics"
"\platform\alert-management-solution.md","22","log analytics","The Alert Management solution helps you analyze all of the alerts in your Log Analytics repository.  These alerts may have come from a variety of sources including those sources [created by Log Analytics](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) or [imported from Nagios or Zabbix](../../azure-monitor/learn/quick-collect-linux-computer.md). The solution also imports alerts from any [connected System Center Operations Manager management groups](../../azure-monitor/platform/om-agents.md)."
"\platform\alert-management-solution.md","22","management solution","The Alert Management solution helps you analyze all of the alerts in your Log Analytics repository.  These alerts may have come from a variety of sources including those sources [created by Log Analytics](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) or [imported from Nagios or Zabbix](../../azure-monitor/learn/quick-collect-linux-computer.md). The solution also imports alerts from any [connected System Center Operations Manager management groups](../../azure-monitor/platform/om-agents.md)."
"\platform\alert-management-solution.md","25","log analytics","The solution works with any records in the Log Analytics repository with a type of **Alert**, so you must perform whatever configuration is required to collect these records."
"\platform\alert-management-solution.md","27","log analytics","- For Log Analytics alerts, [create alert rules](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) to create alert records directly in the repository."
"\platform\alert-management-solution.md","28","log analytics","- For Nagios and Zabbix alerts, [configure those servers](../../azure-monitor/learn/quick-collect-linux-computer.md) to send alerts to Log Analytics."
"\platform\alert-management-solution.md","29","log analytics","- For System Center Operations Manager alerts, [connect your Operations Manager management group to your Log Analytics workspace](../../azure-monitor/platform/om-agents.md).  Any alerts created in System Center Operations Manager are imported into Log Analytics.  "
"\platform\alert-management-solution.md","32","log analytics","Add the Alert Management solution to your Log Analytics workspace using the process described in [Add solutions](../../azure-monitor/insights/solutions.md). There is no further configuration required."
"\platform\alert-management-solution.md","32","management solution","Add the Alert Management solution to your Log Analytics workspace using the process described in [Add solutions](../../azure-monitor/insights/solutions.md). There is no further configuration required."
"\platform\alert-management-solution.md","35","log analytics","If your System Center Operations Manager management group is connected to your Log Analytics workspace,  then the following management packs are installed in System Center Operations Manager when you add this solution.  There is no configuration or maintenance of the management packs required."
"\platform\alert-management-solution.md","39","log analytics","For more information on how solution management packs are updated, see [Connect Operations Manager to Log Analytics](../../azure-monitor/platform/om-agents.md)."
"\platform\alert-management-solution.md","47","log analytics","| [Windows agents](agent-windows.md) | No |Direct Windows agents do not generate alerts.  Log Analytics alerts can be created from events and performance data collected from Windows agents. |"
"\platform\alert-management-solution.md","48","log analytics","| [Linux agents](../../azure-monitor/learn/quick-collect-linux-computer.md) | No |Direct Linux agents do not generate alerts.  Log Analytics alerts can be created from events and performance data collected from Linux agents.  Nagios and Zabbix alerts are collected from those servers that require the Linux agent. |"
"\platform\alert-management-solution.md","49","log analytics","| [System Center Operations Manager management group](../../azure-monitor/platform/om-agents.md) |Yes |Alerts that are generated on Operations Manager agents are delivered to the management group and then forwarded to Log Analytics.<br><br>A direct connection from  Operations Manager agents to Log Analytics is not required. Alert data is forwarded from the management group to the Log Analytics repository. |"
"\platform\alert-management-solution.md","54","log analytics","- Alert data is sent from the Operations Manager management group to Log Analytics every three minutes.  "
"\platform\alert-management-solution.md","57","log analytics","When you add the Alert Management solution to your Log Analytics workspace, the **Alert Management** tile is added to your dashboard.  This tile displays a count and graphical representation of the number of currently active alerts that were generated within the last 24 hours.  You cannot change this time range."
"\platform\alert-management-solution.md","57","management solution","When you add the Alert Management solution to your Log Analytics workspace, the **Alert Management** tile is added to your dashboard.  This tile displays a count and graphical representation of the number of currently active alerts that were generated within the last 24 hours.  You cannot change this time range."
"\platform\alert-management-solution.md","75","log analytics","## Log Analytics records"
"\platform\alert-management-solution.md","76","log analytics","The Alert Management solution analyzes any record with a type of **Alert**.  Alerts created by Log Analytics or collected from Nagios or Zabbix are not directly collected by the solution."
"\platform\alert-management-solution.md","76","management solution","The Alert Management solution analyzes any record with a type of **Alert**.  Alerts created by Log Analytics or collected from Nagios or Zabbix are not directly collected by the solution."
"\platform\alert-management-solution.md","119","log analytics","* Learn about [Alerts in Log Analytics](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) for details on generating alerts from Log Analytics."
"\platform\alerts-classic.overview.md","22","log analytics","In the past Azure Monitor, Application Insights, Log Analytics and Service Health had separate alerting capabilities. Overtime, Azure improved and combined both the user interface and different methods of alerting. The consolidation is still in process. Alerts"
"\platform\alerts-classic.overview.md","29","log analytics","-	**Better notification system** - All newer alerts use action groups, which are named groups of notifications and actions that can be reused in multiple alerts. Classic metric alerts and older Log Analytics alerts do not use action groups."
"\platform\alerts-classic.overview.md","30","log analytics","-	**A unified authoring experience** - All alert creation for metrics, logs and activity log across Azure Monitor, Log Analytics, and Application Insights is in one place."
"\platform\alerts-classic.overview.md","31","log analytics","-	**View fired Log Analytics alerts in Azure portal** - You can now also see fired Log Analytics alerts in your subscription. Previously these were in a separate portal."
"\platform\alerts-classic.overview.md","41","log analytics","-	**Better notification system**: All newer alerts use [action groups](../../azure-monitor/platform/action-groups.md), which are named groups of notifications and actions that can be reused in multiple alerts.  Classic metric alerts and older Log Analytics alerts do not use action groups. "
"\platform\alerts-classic.overview.md","42","log analytics","-	**Metrics from Logs** (public preview): Log data going into Log Analytics can now be extracted and converted into Azure Monitor metrics and then alerted on just like other metrics. "
"\platform\alerts-classic.overview.md","53","log analytics","For Diagnostic Log data available through Azure Monitor, route the data into Log Analytics (formerly OMS) and use a Log Analytics query alert. Log Analytics now uses the [new alerting method](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) "
"\platform\alerts-log.md","20","log analytics","The term **Log Alerts** to describe alerts where signal is custom query based on [Log Analytics](../../azure-monitor/learn/tutorial-viewdata.md) or [Application Insights](../../application-insights/app-insights-analytics.md). Learn more about functionality, terminology, and types from [Log alerts - Overview](../../monitoring-and-diagnostics/monitor-alerts-unified-log.md)."
"\platform\alerts-log.md","23","log analytics","> Popular log data from [Azure Log Analytics](../../azure-monitor/learn/tutorial-viewdata.md) is now also available on the metric platform in Azure Monitor. For details view, [Metric Alert for Logs](../../monitoring-and-diagnostics/monitoring-metric-alerts-logs.md)"
"\platform\alerts-log.md","48","log analytics","1. *Log Alerts*: Ensure **Resource Type** is an analytics source like *Log Analytics* or *Application Insights* and signal type as **Log**, then once appropriate **resource** is chosen, click *Done*. Next use the **Add criteria** button to view list of signal options available for the resource and from the signal list **Custom log search** option for chosen log monitor service like *Log Analytics* or *Application Insights*."
"\platform\alerts-log.md","54","log analytics","   > Alerts lists can import analytics query as signal type - **Log (Saved Query)**, as seen in above illustration. So users can perfect your query in Analytics and then save them for future use in alerts - more details on using saving query available at [using log search in log analytics](../../azure-monitor/log-query/log-query-overview.md) or [shared query in application insights analytics](../../azure-monitor/log-query/log-query-overview.md). "
"\platform\alerts-log.md","107","log analytics"," ![Log Analytics - Set Alert](media/alerts-log/AlertsAnalyticsCreate.png)"
"\platform\alerts-log.md","122","log analytics","Currently log alerts can be created using two different Resource Templates, based on which analytics platform the alert is to be based upon (that is) Log Analytics or Application Insights."
"\platform\alerts-log.md","126","log analytics","### Azure Resource Template for Log Analytics"
"\platform\alerts-log.md","127","log analytics","Log alerts for Log Analytics are created by alert rules that run a saved search on a regular interval. If the results of the query match specified criteria, an alert record is created and one or more actions are run. "
"\platform\alerts-log.md","129","log analytics","Resource template for Log analytics saved search and Log analytics alerts are available in Log Analytics section of documentation. To learn more, see, [Adding Log Analytics saved searches and alerts](../../azure-monitor/insights/solutions-resources-searches-alerts.md); which includes illustrative samples as well as schema details."
"\platform\alerts-log.md","213","log analytics","Currently log alerts can be created using two different Resource Manager compliant APIs, based on which analytics platform the alert is to be based upon (that is) Log Analytics or Application Insights."
"\platform\alerts-log.md","217","log analytics","### PowerShell, CLI, or API for Log Analytics"
"\platform\alerts-log.md","218","log analytics","The Log Analytics Alert REST API is RESTful and can be accessed via the Azure Resource Manager REST API. The API can thus be accessed from a PowerShell command line and will output search results to you in JSON format, allowing you to use the results in many different ways programmatically."
"\platform\alerts-log.md","220","log analytics","Learn more  about [create and manage alert rules in Log Analytics with REST API](../../azure-monitor/platform/api-alerts.md); including examples of accessing the API from Powershell."
"\platform\alerts-log.md","243","log analytics","* Learn more about [Log Analytics](../../azure-monitor/log-query/log-query-overview.md). "
"\platform\alerts-metric-overview.md","16","log analytics","Metric alerts in Azure Monitor work on top of multi-dimensional metrics. These metrics could be platform metrics, [custom metrics](../../monitoring-and-diagnostics/metrics-custom-overview.md), [popular logs from Log Analytics converted to metrics](../../monitoring-and-diagnostics/monitoring-metric-alerts-logs.md), Application Insights standard metrics. Metric alerts evaluate at regular intervals to check if conditions on one or more metric time-series are true and notify you when the evaluations are met. Metric alerts are stateful, that is, they only send out notifications when the state changes."
"\platform\api-alerts.md","2","log analytics","title: Using Log Analytics Alert REST API"
"\platform\api-alerts.md","3","log analytics","description: The Log Analytics Alert REST API allows you to create and manage alerts in Log Analytics which is part of Log Analytics.  This article provides details of the API and several examples for performing different operations."
"\platform\api-alerts.md","18","log analytics","# Create and manage alert rules in Log Analytics with REST API"
"\platform\api-alerts.md","19","log analytics","The Log Analytics Alert REST API allows you to create and manage alerts in Log Analytics.  This article provides details of the API and several examples for performing different operations."
"\platform\api-alerts.md","21","log analytics","The Log Analytics Search REST API is RESTful and can be accessed via the Azure Resource Manager REST API. In this document, you will find examples where the API is accessed from a PowerShell command line using  [ARMClient](https://github.com/projectkudu/ARMClient), an open-source command-line tool that simplifies invoking the Azure Resource Manager API. The use of ARMClient and PowerShell is one of many options to access the Log Analytics Search API. With these tools, you can utilize the RESTful Azure Resource Manager API to make calls to Log Analytics workspaces and perform search commands within them. The API will output search results to you in JSON format, allowing you to use the search results in many different ways programmatically."
"\platform\api-alerts.md","24","log analytics","Currently, alerts can only be created with a saved search in Log Analytics.  You can refer to the [Log Search REST API](../../azure-monitor/log-query/log-query-overview.md) for more information."
